ARREST_DATE,YEAR,MONTH,F,M,V,TOTAL,FELONY_RATIO,OPACITY
2023-08-31,2023,8,315,387,3,705,0.44680851063829800,0.44680851063829800
2023-09-01,2023,9,255,363,11,629,0.40540540540540500,0.40540540540540500
2023-09-02,2023,9,225,323,10,558,0.4032258064516130,0.4032258064516130
2023-09-03,2023,9,183,242,3,428,0.42757009345794400,0.42757009345794400
2023-09-04,2023,9,175,214,0,389,0.4498714652956300,0.4498714652956300
2023-09-05,2023,9,299,360,3,662,0.4516616314199400,0.4516616314199400
2023-09-06,2023,9,375,363,6,744,0.5040322580645160,0.5040322580645160
2023-09-07,2023,9,354,374,3,731,0.4842681258549930,0.4842681258549930
2023-09-08,2023,9,304,314,2,620,0.49032258064516100,0.49032258064516100
2023-09-09,2023,9,216,306,1,523,0.4130019120458890,0.4130019120458890
2023-09-10,2023,9,187,337,2,526,0.35551330798479100,0.35551330798479100
2023-09-11,2023,9,259,309,4,572,0.4527972027972030,0.4527972027972030
2023-09-12,2023,9,371,438,3,812,0.45689655172413800,0.45689655172413800
2023-09-13,2023,9,438,464,6,908,0.48237885462555100,0.48237885462555100
2023-09-14,2023,9,451,441,3,895,0.5039106145251400,0.5039106145251400
2023-09-15,2023,9,313,350,4,667,0.46926536731634200,0.46926536731634200
2023-09-16,2023,9,224,324,5,553,0.4050632911392410,0.4050632911392410
2023-09-17,2023,9,150,247,4,401,0.3740648379052370,0.3740648379052370
2023-09-18,2023,9,194,213,1,408,0.47549019607843100,0.47549019607843100
2023-09-19,2023,9,338,329,3,670,0.5044776119402990,0.5044776119402990
2023-09-20,2023,9,319,375,4,698,0.45702005730659000,0.45702005730659000
2023-09-21,2023,9,346,369,5,720,0.48055555555555600,0.48055555555555600
2023-09-22,2023,9,253,306,8,567,0.4462081128747800,0.4462081128747800
2023-09-23,2023,9,171,251,2,424,0.4033018867924530,0.4033018867924530
2023-09-24,2023,9,153,226,3,382,0.4005235602094240,0.4005235602094240
2023-09-25,2023,9,207,253,0,460,0.45,0.45
2023-09-26,2023,9,351,339,5,695,0.5050359712230220,0.5050359712230220
2023-09-27,2023,9,374,498,4,876,0.4269406392694060,0.4269406392694060
2023-09-28,2023,9,335,429,1,765,0.43790849673202600,0.43790849673202600
2023-09-29,2023,9,199,286,4,489,0.4069529652351740,0.4069529652351740
2023-09-30,2023,9,200,296,4,500,0.4,0.4
2023-10-01,2023,10,214,287,5,506,0.42292490118577100,0.42292490118577100
2023-10-02,2023,10,277,291,0,568,0.4876760563380280,0.4876760563380280
2023-10-03,2023,10,332,410,1,743,0.4468371467025570,0.4468371467025570
2023-10-04,2023,10,385,457,7,849,0.4534746760895170,0.4534746760895170
2023-10-05,2023,10,361,390,6,757,0.47688243064729200,0.47688243064729200
2023-10-06,2023,10,350,430,6,786,0.44529262086514000,0.44529262086514000
2023-10-07,2023,10,226,349,8,583,0.3876500857632930,0.3876500857632930
2023-10-08,2023,10,186,265,2,453,0.4105960264900660,0.4105960264900660
2023-10-09,2023,10,200,254,2,456,0.43859649122807000,0.43859649122807000
2023-10-10,2023,10,383,452,5,840,0.45595238095238100,0.45595238095238100
2023-10-11,2023,10,398,443,5,846,0.47044917257683200,0.47044917257683200
2023-10-12,2023,10,352,330,4,686,0.5131195335276970,0.5131195335276970
2023-10-13,2023,10,238,336,1,575,0.41391304347826100,0.41391304347826100
2023-10-14,2023,10,165,284,2,451,0.36585365853658500,0.36585365853658500
2023-10-15,2023,10,200,282,2,484,0.4132231404958680,0.4132231404958680
2023-10-16,2023,10,257,293,3,553,0.46473779385171800,0.46473779385171800
2023-10-17,2023,10,343,413,7,763,0.44954128440367000,0.44954128440367000
2023-10-18,2023,10,308,401,4,713,0.4319775596072930,0.4319775596072930
2023-10-19,2023,10,294,423,2,719,0.4089012517385260,0.4089012517385260
2023-10-20,2023,10,233,342,7,582,0.40034364261168400,0.40034364261168400
2023-10-21,2023,10,208,290,4,502,0.41434262948207200,0.41434262948207200
2023-10-22,2023,10,183,299,5,487,0.3757700205338810,0.3757700205338810
2023-10-23,2023,10,231,275,0,506,0.45652173913043500,0.45652173913043500
2023-10-24,2023,10,388,366,4,758,0.5118733509234830,0.5118733509234830
2023-10-25,2023,10,414,414,6,834,0.49640287769784200,0.49640287769784200
2023-10-26,2023,10,408,419,6,833,0.4897959183673470,0.4897959183673470
2023-10-27,2023,10,342,406,2,750,0.456,0.456
2023-10-28,2023,10,252,349,2,603,0.417910447761194,0.417910447761194
2023-10-29,2023,10,154,294,4,452,0.3407079646017700,0.3407079646017700
2023-10-30,2023,10,221,288,2,511,0.4324853228962820,0.4324853228962820
2023-10-31,2023,10,258,319,1,578,0.4463667820069200,0.4463667820069200
2023-11-01,2023,11,427,454,0,881,0.48467650397275800,0.48467650397275800
2023-11-02,2023,11,348,366,3,717,0.48535564853556500,0.48535564853556500
2023-11-03,2023,11,346,378,5,729,0.47462277091906700,0.47462277091906700
2023-11-04,2023,11,198,299,4,501,0.39520958083832300,0.39520958083832300
2023-11-05,2023,11,185,278,2,465,0.3978494623655910,0.3978494623655910
2023-11-06,2023,11,251,285,1,537,0.46741154562383600,0.46741154562383600
2023-11-07,2023,11,306,379,6,691,0.44283646888567300,0.44283646888567300
2023-11-08,2023,11,407,468,5,880,0.4625,0.4625
2023-11-09,2023,11,466,458,4,928,0.5021551724137930,0.5021551724137930
2023-11-10,2023,11,290,366,4,660,0.4393939393939390,0.4393939393939390
2023-11-11,2023,11,239,320,4,563,0.42451154529307300,0.42451154529307300
2023-11-12,2023,11,191,307,2,500,0.382,0.382
2023-11-13,2023,11,207,302,2,511,0.4050880626223090,0.4050880626223090
2023-11-14,2023,11,290,380,4,674,0.43026706231454000,0.43026706231454000
2023-11-15,2023,11,435,468,6,909,0.47854785478547900,0.47854785478547900
2023-11-16,2023,11,367,447,4,818,0.44865525672371600,0.44865525672371600
2023-11-17,2023,11,330,398,7,735,0.4489795918367350,0.4489795918367350
2023-11-18,2023,11,202,300,3,505,0.4,0.4
2023-11-19,2023,11,194,307,0,501,0.3872255489021960,0.3872255489021960
